cliente_id,data_compra,Produto,Valor_Médio,prob_180d,comprou_180d,prob_360d,comprou_360d
973503,2023-03-28,1921181532,22653.773999999998,0.668775827194857,1,0.8057929592975036,1
973503,2023-06-23,1920760354,27051.635,0.6611888027513708,1,0.7963002579150532,1
973503,2023-08-25,1920760354,33731.49975,0.686863381454745,1,0.8106307347191668,1
973503,2023-08-28,1800260074,31283.194799999997,0.42305205518239264,1,0.5690716663599805,1
973503,2023-09-29,1920760354,32043.8885,0.6391562736372253,1,0.7578335095756398,1
973503,2023-11-16,1920760354,32587.241142857143,0.4915954124444611,1,0.593579082491007,1
973503,2023-11-27,1800260074,31213.011375000002,0.25606222031696835,1,0.3251473211903807,1
973503,2023-11-28,1920760354,31727.938666666665,0.4987430275755673,1,0.595113399845859,1
973503,2024-01-18,1920740074,29059.7034,0.6656965804561226,1,0.8169208326741593,1
973503,2024-01-26,1920760354,29676.762818181818,0.7579966251706852,1,0.8789249718913035,1
973503,2024-02-15,1920760354,30429.964500000002,0.7122703157438681,1,0.8414605700299366,1
973503,2024-05-16,1920760354,31067.288999999997,0.7022733992183291,1,0.8282312663955493,1
973503,2024-05-29,580681532,29644.810928571427,0.708418279533154,1,0.8302929859744836,1
973503,2024-06-27,1920760354,30249.5024,0.6663138562228995,0,0.7879416958595031,0
975906,2023-02-13,341700074,58856.49899999999,0.03525562261299902,0,0.05157896175787486,0
975912,2023-01-25,341700074,19618.833,0.036881248749129826,1,0.05933904809404597,1
975912,2023-02-13,341700074,14714.114999999998,0.11261971749241996,1,0.1976686183303696,1
975912,2023-07-14,"341040074, 402080074, 781241840, 781821840, 1626461022",30072.028999999995,0.20488440635713925,1,0.31807586128919835,1
975912,2023-09-04,341700074,25178.029499999997,0.12382575543472207,1,0.18016184637395322,1
975912,2023-09-11,341700074,22241.6298,0.10978548955887471,1,0.15763079187943138,1
975912,2024-01-19,341700074,20284.03,0.1308044507024477,1,0.22420097038121856,1
975912,2024-02-19,341700074,20385.188571428567,0.13783825189837617,0,0.22517356628970972,0
976503,2023-01-03,1626361022,11770.161,0.11951032644738353,1,0.17224895064342347,1
976503,2023-03-10,1626361022,12260.5665,0.3382667878118218,1,0.4473202933784622,1
976503,2023-06-27,1626361022,11634.051,0.31650066169608,1,0.40997228479577086,1
976503,2023-09-19,403900074,15785.093999999997,0.2689556321210766,0,0.33149391208257467,1
976503,2024-04-25,403900074,16972.433399999998,0.3373735852343259,0,0.463261009119799,0
