cliente_id,data_compra,Produto,Valor_Médio,prob_30d,comprou_30d,prob_60d,comprou_60d,prob_90d,comprou_90d
1503,2024-06-27,14022280002,5547.983999999999,0.040102840924381676,0,0.017347136552867473,0,0.02594418686150842,0
4203,2024-01-05,"580781532, 580821532, 580841532, 580861532, 1000260162, 1000300162, 5744040152",139924.668,0.5158566373151284,1,0.559457125438388,1,0.5598032934995435,1
4203,2024-01-11,"403620354, 403621338, 5771540354",79349.06850000001,0.8934747544809054,1,0.9351004406851121,1,0.9337844600310896,1
4203,2024-01-17,"42381464, 403621338, 580781532, 580841532, 580861532, 1000105584, 1000260162, 1000280162, 1000300162, 1000320162, 5771540354, 5771741022, 5772021022, 5773420162, 5773425584",227922.60400000002,0.915439888992775,1,0.9495426088991138,1,0.9564706760054462,1
4203,2024-01-29,"410220666, 14009840002",404192.79225000006,0.9397815879842683,1,0.961797225715611,1,0.9713557649939941,1
4203,2024-01-30,"41501464, 42720670",438546.46679999994,0.9483940481501124,1,0.9646063482137293,1,0.967001016179382,1
4203,2024-02-07,42720670,372809.632,0.9411022638737881,1,0.9480074511765015,1,0.9445336972820588,1
4203,2024-02-15,"244680670, 244700670, 244720670, 402240354, 402240666, 403620354, 403621338, 580681532, 580761532, 580781532, 580841532, 1000105584, 1000260162, 1000300162, 1000320162, 1000820670, 5680081020, 5771540354, 5771741022, 5772021022, 5772901532, 5773420162, 5773425584, 14006200002",440223.4255714286,0.940480193044945,1,0.9615422044384138,1,0.9688029049940452,1
4203,2024-02-23,"580681532, 580741532, 580781532, 580821532, 580841532, 580861532, 1000260162, 1000300162",398293.413375,0.9437188748730462,1,0.9431957270942676,1,0.9387867143568177,1
4203,2024-03-18,"580681532, 580781532, 580821532, 580841532, 580861532, 580881532, 1000300162",363582.50933333335,0.9312762346040094,1,0.9182601388204212,1,0.9104868343040579,1
4203,2024-04-01,"42381464, 244700158, 244700670, 244720670, 580681532, 580861532, 1000100162, 1000260162, 1000285584, 1000300162, 5772021022, 5773420162",424053.49740000005,0.8428285506746721,1,0.9469258475249649,1,0.9583300465790399,1
4203,2024-04-04,"580781532, 580821532, 580841532, 580861532, 1000260162, 1000300162, 5772021022",400466.3874545455,0.9442752947934667,1,0.9441393194365993,1,0.9427567343580452,1
4203,2024-04-17,"42381464, 244700670, 580681532, 580841532, 580861532, 1000100162, 1000260714, 1000280162, 5771540354, 5772021022, 5773420162, 5773425584, 5773440162, 14006200002",415446.7785,0.9407869881817803,1,0.9473317353963167,1,0.9517087995591136,1
4203,2024-05-16,"42381464, 244680158, 244720670, 402240354, 403620354, 580681532, 580781532, 580841532, 1000260714, 1000280162, 1000300162, 1000820670, 5616140354, 5771540354, 5772021022, 5773420162",432566.226,0.8485041298813141,0,0.9348374326373132,1,0.9389376498490662,1
4203,2024-06-17,"42381464, 244680670, 244720670, 402240354, 403621338, 580021532, 580681532, 580781532, 580801532, 1000105584, 1000260162, 1000280162, 1000300162, 1000820670, 5680081020, 5771540354, 5771741022, 5772021022, 5773420162, 5773425584, 14006200002",497236.8152142857,0.8199172517166147,0,0.9264212691487804,1,0.9394424674588155,1
4203,2024-07-18,"580781532, 580821532, 1000260162, 1000300162",471291.5922,0.8914966420298001,0,0.9452140894264792,0,0.9399534212747599,0
4503,2024-01-02,580801532,26200.161,0.4236893670306612,1,0.42411363176305433,1,0.4273972068138869,1
4503,2024-01-17,"41720152, 42380670, 243260158, 244680158, 403621338, 580681532, 580841532, 580861532, 1000260162, 1000320162, 5771320354, 5771720666, 5771741022",481264.60199999996,0.9467697548191133,1,0.9627710550720099,1,0.9703035026702513,1
4503,2024-01-30,"42380670, 243260158, 244700670, 403621338, 580581532, 580681532, 580841532, 580861532, 580881532, 601260670, 1000260162, 1000260714, 1000320162, 1920760354, 5772901532",658929.83,0.917137226340645,1,0.9758100892504807,1,0.9800301308634278,1
4503,2024-02-06,1920760354,497144.583,0.8928297238841183,1,0.9512426921690983,1,0.9456873820182492,1
4503,2024-02-16,"243220158, 243260158, 403621338, 406400354, 410220354, 410220666, 580061532, 580581532, 580821532, 580841532, 1000260162, 1000780162, 5771320354, 5771541338, 5771720354, 5772901532",483568.8156,0.8742637217527971,0,0.9458368193440011,1,0.9452782379405611,1
4503,2024-03-18,"244680158, 580061532, 580841532, 580861532, 1000260162, 1000320162, 1920760354, 5771320354",431859.675,0.8573211991084665,1,0.9208980866373756,1,0.9155262155327357,1
4503,2024-04-09,"580581532, 580681532, 580801532, 580821532, 580841532, 580861532, 1000260162, 1000300162, 1000320162, 5771541338, 5772900670",444386.20757142856,0.866077468623194,1,0.9412400220974974,1,0.9463845254218742,1
4503,2024-04-19,"244680158, 403621338, 580781532, 580841532, 580861532, 1000260162, 1000320162",409070.176125,0.8657150270342454,1,0.92812089330898,1,0.9226025835693432,1
4503,2024-05-16,"244680158, 403621338, 406401338, 580061532, 580841532, 580861532, 1000280162, 1000320162, 1920760354",388467.61199999996,0.8449346423985643,0,0.9106157960853323,1,0.9056717223907823,1
4503,2024-06-17,"244680158, 403621338, 406400354, 580841532, 580861532, 1000260162, 1000280162, 1000320162, 1000565584, 1920760354, 5771741022",375070.5855,0.8285315507193632,0,0.8959990675901317,0,0.8914368698537699,0
9003,2024-04-15,80260074,7068.243,0.06916452930615713,0,0.037369263891494656,0,0.03251662458429791,0
9603,2024-01-04,244700670,92677.845,0.45408652678209716,1,0.5306960992941537,1,0.6087317748233008,1
9603,2024-01-15,5771320354,79730.859,0.871791061788012,1,0.8919846721343038,1,0.9238435525612545,1
9603,2024-01-29,5771720672,133741.777,0.8750511130042467,1,0.8668228547223309,1,0.9063395359376197,1
9603,2024-02-20,243260670,122473.9425,0.7184355348368737,1,0.8430617912823691,1,0.8860798013403226,1
9603,2024-02-26,"244405584, 405120354",135389.2956,0.712772590327735,1,0.8321008991327702,1,0.8769592280329017,1
9603,2024-03-11,"5771320354, 5773425584",142018.643,0.7043284257364879,1,0.8326147254987044,1,0.8792015610355884,1
9603,2024-03-25,5771720672,159713.47971428573,0.7081177724383191,1,0.8283543332793878,1,0.8761447936698992,1
9603,2024-04-12,5773860354,140762.451375,0.7544257080087626,1,0.8748437746863176,1,0.9107307519124052,1
9603,2024-04-17,1000355428,126265.24733333333,0.7463147271171537,1,0.8702022160255549,1,0.905602607011494,1
9603,2024-04-25,1000355428,114667.4841,0.7454412736633451,1,0.8659885156954135,1,0.9044508865210321,1
9603,2024-04-26,"80520074, 5773860354",105766.96118181819,0.7357822139992966,1,0.8577404157280379,1,0.8962501949911391,1
9603,2024-05-21,1982361532,106308.05575,0.7080333948874056,1,0.8287081585548002,1,0.8745110606178303,1
9603,2024-05-24,"244700670, 5771720672",126850.182,0.692194940550193,1,0.8236568188604161,1,0.8716717491306981,1
9603,2024-06-03,5771320354,122630.73921428571,0.7140400994176825,1,0.854031317661447,1,0.8972215109245332,1
9603,2024-06-10,244720670,121251.73319999999,0.7070803349487,1,0.8475374337228623,1,0.8889763028549129,1
9603,2024-07-10,"244700670, 781540666",125447.5145625,0.7402293572160888,0,0.874761557686308,0,0.9142945369993696,0
9606,2024-04-12,"5771320672, 5773860354",141302.577,0.5482161148819452,0,0.554099947226621,0,0.5556458274487472,0
10806,2024-01-02,41741528,20079.891,0.25754499199745146,1,0.2244730530673583,1,0.25144199312648635,1
10806,2024-01-10,5772021022,18461.313000000002,0.7515132337223477,1,0.7547863928641684,1,0.7900694300775875,1
10806,2024-01-15,41741528,16769.727,0.7058042649007497,1,0.6623107797748811,1,0.6833171485849688,1
10806,2024-01-18,580841532,14595.13575,0.7126615567142143,1,0.692094740795229,1,0.7109501011999232,1
10806,2024-01-24,1880460074,12868.9002,0.6985355487557839,0,0.6233977308872873,1,0.6418610216053797,1
10806,2024-02-26,5772021022,13516.802000000001,0.4528895486552299,1,0.5101282831252635,1,0.5481079137204513,1
10806,2024-03-04,"580841532, 1000780162, 1921940354",21785.611714285715,0.47749546973517415,1,0.5711190166905316,1,0.6299833119874372,1
10806,2024-03-18,580841532,20080.773375,0.4900170612993001,0,0.5725095367401916,1,0.6213091686157565,1
10806,2024-04-18,"1921940354, 5772021022",23626.867333333335,0.5176478127676186,0,0.5969861391184085,1,0.644827409506679,1
10806,2024-05-27,1000780162,22839.1098,0.5082966347251011,1,0.5574271735342348,1,0.6103488618333606,1
10806,2024-06-18,"580841532, 1921940354, 5772021022",26860.353000000003,0.479155822452795,0,0.5268351120866995,0,0.5737357052115999,0
10809,2024-01-12,5772021022,13942.656,0.2195428533054627,0,0.13579401089174,0,0.15297166933972997,0
10809,2024-05-08,5772021022,14470.794000000002,0.22651117763535555,0,0.3496044986889819,1,0.4194767833901049,1
10809,2024-06-10,581680162,19384.69,0.24994851807455862,1,0.3922343545289228,1,0.4766903307257046,1
10809,2024-06-11,5772021022,17464.4535,0.25297816432323944,1,0.3942532862581294,1,0.47499299722469496,1
10809,2024-06-18,5772021022,15564.7596,0.21701459791148545,0,0.3330855504249626,0,0.3853395052578284,0
10812,2024-06-07,42641532,32485.674,0.23531092118401534,1,0.1990305106331995,1,0.21556526447475818,1
10812,2024-06-24,1921420354,39835.3995,0.7075624873153892,0,0.5532020664779158,0,0.5955361801517092,0
11403,2024-01-15,1881200074,23404.641,0.12124884275082128,1,0.047839143397685566,1,0.05700201707511138,1
11403,2024-01-23,80260074,15130.342499999999,0.5068333324978087,0,0.30044244855275537,1,0.3512410885196575,1
11403,2024-03-08,"80260074, 1880460074",18132.335,0.2607492950632599,1,0.15981355960354832,1,0.21386921339784723,1
11403,2024-03-26,"1620521022, 1881200074",20600.1705,0.2697327547987928,0,0.15854440683842133,1,0.2098144688327217,1
11403,2024-05-07,80260074,18049.0206,0.13401318499811346,1,0.18412493556701334,1,0.24687579161748174,1
11403,2024-06-03,1881200074,17901.454999999998,0.1177180207895757,0,0.14509415795634506,0,0.1915491030907462,0
12603,2024-01-15,42701528,6033.885,0.11705465535183389,0,0.038001743214423324,0,0.03051517173172252,1
12603,2024-04-01,42701528,6038.3115,0.12919186369340274,0,0.13420503502709344,0,0.1298686299800891,0
14403,2024-01-05,42161532,12462.879,0.10489043522154702,0,0.07465044704459313,0,0.08431427110877501,0
14403,2024-07-01,42161532,12899.0745,0.12190320273373832,0,0.2391996239957538,0,0.3026213369328623,0
19503,2024-02-27,41720158,6676.761,0.16563862381889938,1,0.08674270172237634,1,0.09092558925550451,1
19503,2024-03-22,410220354,8087.1375,0.3539635814330781,0,0.28939112244305754,1,0.32880937527608595,1
19503,2024-05-20,41720158,7617.012,0.18129059669061953,0,0.2783768042286309,0,0.31106878336709126,0
22506,2024-01-31,5772021022,30450.342,0.0921790130197575,0,0.05317818887617358,1,0.05848302149767728,1
22506,2024-03-20,5772021022,31516.095000000005,0.0889993056709466,0,0.15544913916968728,1,0.18661283880285418,1
22506,2024-05-03,5772021022,28251.093000000004,0.09361014229834926,0,0.17162460765933343,1,0.21411908044481628,1
22506,2024-06-03,5772021022,26618.640750000002,0.08705861601574857,0,0.15600130876797244,0,0.19361937355500622,0
22512,2024-01-29,2600880148,33760.506,0.06198946715200712,1,0.01857882507886599,1,0.01590073714355045,1
22512,2024-01-31,1920741180,18940.8375,0.5892465620012515,1,0.9462072487274237,1,0.9404954045031955,1
22512,2024-02-07,1920741180,13771.992,0.3963767031701781,0,0.36457157538133056,0,0.3857355945884129,0
22512,2024-05-27,1920741180,12166.362000000001,0.0765439521996346,0,0.12154911260501794,0,0.1394656040721844,0
22515,2024-04-30,"1920740074, 1920765642",16508.466,0.0848493746686829,0,0.04952331178953418,0,0.04498550699773742,0
23403,2024-01-11,80520074,23585.172,0.14928846984562041,1,0.10179881124878251,1,0.09945950397880778,1
23403,2024-01-26,80520074,17774.796,0.5856608873024166,0,0.39897132843931815,0,0.4198952604954967,0
23403,2024-05-20,80520074,16229.784999999998,0.12715499117805956,0,0.21389340726223827,0,0.21290701278356386,0
24303,2024-02-15,100220072,7554.456,0.12378715954825317,1,0.12988478051639082,1,0.11423152265900902,1
24303,2024-03-13,341380056,5551.5525,0.28386970871904954,1,0.3959234253768613,1,0.3959622898268699,1
24303,2024-04-05,100220072,6244.3679999999995,0.3057070853533582,0,0.42864858775308545,1,0.4332269359627133,1
24303,2024-05-20,100220072,6590.77575,0.1383732299715807,0,0.37724752173277865,0,0.3682194521694467,0
28503,2024-03-15,1000305584,124486.167,0.12406892282347799,0,0.0505069796153795,0,0.05115961326845535,0
28512,2024-02-27,1000280162,37181.43,0.08240924864576316,0,0.03225872887575677,1,0.03648327645817941,1
28512,2024-04-05,1000280162,21718.0665,0.210239317760354,0,0.13864059074450155,1,0.17789562256202807,1
28512,2024-05-20,1000280162,26988.156000000003,0.0875194000598017,0,0.1135142157354098,0,0.13911048963417724,0
28515,2024-02-29,1000280162,62347.81800000001,0.07271033988437883,0,0.03631632823727337,0,0.04738335815336049,0
28518,2024-04-30,1000280162,41301.156,0.11577171811858084,0,0.045221049106810546,0,0.04772926275804479,0
28521,2024-02-23,1000280162,24887.928,0.07856415881977039,0,0.024845153933300137,0,0.027810409901873105,0
28524,2024-04-05,1000280162,12532.767,0.0768752743454803,0,0.02436400881554162,0,0.026410397207072615,1
28524,2024-06-11,1000280162,15648.6525,0.07434970049464248,0,0.06655909475110887,0,0.07850947860362009,0
28530,2024-02-15,1000305584,124339.995,0.13198664812470073,0,0.05550570203236172,0,0.05653698142155347,1
28530,2024-05-06,1000305584,125111.0055,0.14493339909856598,0,0.18493167877931913,0,0.21536474626557336,0
28539,2024-02-22,1000280162,37314.61500000001,0.08292580984427342,0,0.026510734477584254,1,0.029947509457070684,1
28539,2024-04-05,1000280162,37421.49450000001,0.21547380347325237,0,0.11661357356943498,0,0.14820307308914732,1
28539,2024-06-27,1000280162,39045.266,0.08595242591673462,0,0.08306905669845033,0,0.10244249684403099,0
28542,2024-01-10,1000280162,24540.789,0.08391602991216202,0,0.02771769554389321,0,0.03553939163074332,0
28548,2024-02-09,1000280162,37043.52599999999,0.06360135627771946,0,0.026249475723105986,0,0.02839756766671474,0
28548,2024-06-10,1000280162,38869.310999999994,0.06575322787733606,0,0.08022283629583903,0,0.09692733119884163,0
28557,2024-02-23,1000280162,31109.949,0.08122821897709648,0,0.02109931054832151,0,0.02241638216962556,0
28563,2024-05-17,1000305584,136149.663,0.11019907072003982,0,0.047316296036455395,0,0.0487930789787516,0
28602,2024-06-10,1000280162,13565.019,0.06893816656007246,0,0.023735450126617465,0,0.028227986453023,0
32403,2024-04-22,80520074,6111.846,0.11889488079761824,0,0.05320654215696207,0,0.045182079635962116,0
34503,2024-01-26,42701528,11265.618,0.06624151618953264,0,0.016040932760228988,0,0.012859621071415198,0
36003,2024-01-09,442041538,33293.793,0.23110079926284247,1,0.3601562333769495,1,0.3512512529683251,1
36003,2024-02-01,442041538,23904.3285,0.45006740568878567,1,0.708402191227745,1,0.7307968346831257,1
36003,2024-03-01,442041538,20774.506999999998,0.42550391200490495,1,0.6554712576360532,1,0.6806224708268244,1
36003,2024-03-05,442041538,26467.0185,0.4263094332006741,0,0.6658873876490813,1,0.6845118523251574,1
36003,2024-05-02,442041538,26979.544799999996,0.23928910010968366,1,0.673920641341185,1,0.6957627119674878,1
36003,2024-05-09,1780640396,33900.3015,0.45368478534920276,0,0.6977417363316887,0,0.7163928479534,0
37803,2024-01-05,43280670,167803.116,0.23194063467001066,0,0.3794160685728136,1,0.44814558433417495,1
37803,2024-02-15,43280670,174442.06650000002,0.45117908586559935,0,0.6838048832685185,1,0.7582838956436367,1
37803,2024-03-21,43280670,176655.063,0.23411188053107335,0,0.6473052001350345,1,0.7303641874077961,1
